Person ID;Date Source Text;Date Start;Start Uncertain;Date End;End Uncertain;Note Ref;Praenomen;Nomen;RE;Filiation;Cognomen;Other Names;Original Name Text;Review Later;Location;
0;151;151;0;151;0;205;P.;Cornelius;cf. 384?;;Sulla;;Cornelius Sulla, P.;1;Rome;
0;43;43;0;43;0;486;P.;Accoleius;1;;Lariscolus;;Accoleius Lariscolus, P. ;;Rome;
0;169 - 158;169;0;158;0;189;P.;Cornelius;cf. 76;;Blasio;;Cornelius Blasio, P.;;Rome;
0;133;133;0;133;0;247;P.;Calpurnius;17;;;;Calpurnius, P.;;Rome;
0;42;42;0;42;0;494;P.;Clodius;10;;;;Clodius, P.;;Rome;
0;47 - 46;47;0;46;0;460;P.;Licinius;65, 75;;Crassus;Iunianus Damasippus;Licinius Crassus Iunianus Damasippus, P.;;Africa;
0;82;82;0;82;0;360, 361;P.;Crepusius;1;;;;Crepusius, P.;;Rome;
0;55;55;0;55;0;429;P.;Fonteius;25;;Capito;;Fonteius Capito, P.;;Rome;
0;84;84;0;84;0;356;P.;Furius;57;;Crassipes;;Furius Crassipes, P.;;Rome;
0;110 - 109;110;0;109;0;301;P.;Porcius;21;;Laeca;;Porcius Laeca, P.;;Rome;
0;194 - 190;194;0;190;0;138;P.;Maenius;12;;;;Maenius, P.;;Rome;
0;132;132;0;132;0;249;P.;Maenius;18;;Ant[ias];;Maenius Ant[ias], P.;;Rome;
0;113 - 112;113;0;112;0;292;P.;Licinius;135, 136;;Nerva;;Licinius Nerva, P.;;Rome;
0;99;99;0;99;0;331;P.;(Vettius);Sabinus 30, Vettius 15;;Sabinus;;Sabinus, P.;;Rome;
0;77;77;0;77;0;388;P.;Satrienus;1;;;;Satrienus, P.;;Rome;
0;44;44;0;44;0;480;P.;Sepullius;1;;Macer;;Sepullius Macer, P.;;Rome;
0;100;100;0;100;0;328;P.;Servilius;79;;Rullus;;Servilius Rullus, P.;;Rome;
0;169 - 158;169;0;158;0;176;;(Aelius);not in RE;;Pae[tus];;Pae[tus];;Rome;
0;45;45;0;45;0;473;;(Lollius);20;;Palicanus;;(Lollius) Palicanus;;Rome;
0;43;43;0;43;0;487;;Petillius;7;;Capitolinus;;Petillius Capitolinus;;Rome;
0;56;56;0;56;0;425;L.;Marcius;77, cf. 74;;Philippus;;Marcius Philippus, L.;;Rome;
0;179 - 170;179;0;170;0;155;;(Furius);not in RE;;Purpurio;;(Furius) Purpurio;;Rome;
0;169 - 158;169;0;158;0;187;;(Furius);not in RE;;Purpurio;;(Furius) Purpurio;;Rome;
0;42;42;0;42;0;509;Q.;Cornuficius;7, Supb. 1.331;;;;Cornuficius, Q.;;Africa;
0;72;72;0;72;0;399;Q.;Creperius;8;;;;Crepereius Rocus, Q.;;Rome;
0;116 - 115;116;0;115;0;285;Q.;Curtius;11;;;;Curtius, Q.;;Rome;
0;118 - 117;118;0;117;0;283;Q.;Marcius;30;;;;Marcius, Q.;;Rome;
0;148;148;0;148;0;215;Q.;Marcius;70;;Libo;;Marcius Libo, Q.;;Rome;
0;189 - 180;189;0;180;0;148;Q.;Marius;26;;;;Marius, Q.;;Rome;
0;130;130;0;130;0;256;Q.;Caecilius;95;;Metellus;;Caecilius Metellus, Q.;1;Rome;
0;129;129;0;129;0;259;Q.;(Marcius);82;;Philippus;;(Marcius) Philippus, Q.;;Rome;
0;66;66;0;66;0;410;Q.;Pomponius;23;;Musa;;Pomponius Musa, Q.;;Rome;
0;73;73;0;73;0;398;Q.;Pomponius;26;;Rufus;;Pomponius Rufus, Q.;;Rome;
0;49;49;0;49;0;440, 444;Q.;Sicinius;12;;;;Sicinius, Q.;;Rome;
0;90;90;0;90;0;341;Q.;Titius;33;;;;Titius, Q.;;Rome;
0;111 - 110;111;0;110;0;299;Q.;Urbinus;not in RE;;;;Urbinus, Q. ;;Rome;
0;206 - 200;206;0;200;0;125;Q.;L[utatius];13.2068;;C[erco] or C[atulus];;L[utatius] C[erco] or C[atulus], Q.;;;
0;189 - 180;189;0;180;0;151;S.;Furius;30;;;;Furius, S.;;Rome;
0;150;150;0;150;0;206;;;?;;Safra;;Safra;1;Rome;
0;155;155;0;155;0;199;;(Atilius);57;;Saranus;;(Atilius) Saranus;;Rome;
0;169 - 158;169;0;158;0;180;;(Cluvius);cf. 14;;Saxula;;(Cluvius) Saxula;;Rome;
0;31;31;0;31;0;546;L.;Pinarius;27;;Scarpus;;Pinarius Scarpus, L.;;Cyrenaica;
0;51;51;0;51;0;438;Ser.;Sulpicius;20, 21, 96;;;;Sulpicius, Ser.;;Rome;
0;189 - 180;189;0;180;0;152;Sex.;Q[uinctilius];3;;;;Q[uinctilius], Sextus;;Rome;
0;189 - 180;189;0;180;0;141;;;Todus;;Todus;;Todus;;Rome;
0;46;46;0;46;0;464;T.;Carisius;2;;;;Carisius, T.;;Rome;
0;128;128;0;128;0;260;T.;Cloelius;5;;;;Cloelius, T.;;Rome;
0;98;98;0;98;0;332;T.;Cloelius;cf. 5;;;;Cloelius, T.;;Rome;
0;70;70;0;70;0;404;T.;Vettius;9a=14, 11;;Sabinus;;Vettius Sabinus, T.;;Rome;
0;179 - 170;179;0;170;0;161;;(Iuventius);25;;Thalna;;(Iuventius) Thalna;;Rome;
0;194 - 190;194;0;190;0;133;;(Baebius);42, 43?;;Tampilus;;(Baebius) Tampilus;1;Rome;
0;112 - 111;112;0;111;0;297;Ti.;Q[uinctius?];18;;;;Q[uinctius?], Ti.;;Rome;
0;134;134;0;134;0;243;Ti.;Minucius;35;;Augurinus;;Minucius, Tiberius;;Rome;
0;137;137;0;137;0;234;Ti.;Veturius;6;;;;Veturius, Tiberius;;Rome;
0;169 - 158;169;0;158;0;193;;(Papirius);75;;Turdus;;(Papirius) Turdus;;Rome;
0;169 - 158;169;0;158;0;191;;Valerius;4;;;;Val[erius];;Rome;
0;206 - 200;206;0;200;0;126;;(Terentius);cf. 76;;Var[ro];;(Terentius) Var[ro];;;
0;169 - 158;169;0;158;0;185;;(Terentius);cf. 76, 81;;Var[r]o;;(Terentius) Var[r]o;;Rome;
0;49;49;0;49;0;447;;(Terentius);78;;Varro;;Varro;;;
0;86;86;0;86;0;350A;M.;Ver[gilius];1, 4;;;;Ver[gilius], M.;;Rome;
0;43;43;0;43;0;491;C.;Norbanus;6, 9a;;;;Norbanus, C.;;Rome;
0;130;130;0;130;0;256;Q.;Caecilius;97;;Metellus;;Caecilius Metellus, Q.;1;Rome;
1193;169 - 158;169;0;158;0;174;A.;Caecilius;10;;;;Caecilius, A.;;Rome;
1269;154;154;0;154;0;201;C.;Scribonius;4;;;;Scribonius, C.;;Rome;
1296;169 - 158;169;0;158;0;173;C.;Cluvius;14;;Saxula;;Cluvius Saxula, C.;;Rome;
1323;189 - 180;189;0;180;0;144;L.;Furius;77;;Philus;;Furius Philus, L.;;Rome;
1366;189 - 180;189;0;180;0;147;Cn.;Domitius;19;Cn. f. L. n.;Ahenobarbus;;Domitius Ahenobarbus, Cn.;;Rome;
1383;189 - 180;189;0;180;0;143;Q.;Maenius;14;;;;Maenius, Q.;;Rome;
1393;189 - 180;189;0;180;0;154;L.;Coelius;1;;;;Coelius, L.;;Rome;
1424;155 - 149;155;0;149;0;211;Q.;Caecilius;94;;Metellus;Macedonicus;Caecilius Metellus Macedonicus, Q.;;Rome;
1532;141;141;0;141;0;224;L.;Iulius;29;;;;Iulius, L.;;Rome;
1534;145;145;0;145;0;220;M.;Iunius;22;;;;Iunius, M.;;Rome;
1615;127;127;0;127;0;265, 371;Q.;Fabius;111;;Maximus;;Fabius Maximus, Q.;;Rome;
1616;144;144;0;144;0;221;T.;Annius;78;;Rufus;;Annius Rufus, T.;;Rome;
1639;131;131;0;131;0;253;L.;Opimius;4;;;;Opimius, L.;;Rome;
1642;129;129;0;129;0;258;Sex.;Iulius;150;;Caesar;;Iulius Caesar, Sextus;;Rome;
1649;128;128;0;128;0;262;L.;Caecilius;91;;Metellus;;Caecilius Metellus, L.;1;Rome;
1665;128;128;0;128;0;262;L.;Caecilius;93;;Metellus;;Caecilius Metellus, L.;1;Rome;
1675;137;137;0;137;0;235;Sex.;Pompeius;17;;;;Pompeius, Sextus;;Rome;
1677;127;127;0;127;0;263, 369;M.;Caecilius;77;;Metellus;;Caecilius Metellus, M.;;Rome;
1679;118;118;0;118;0;282;L.;Licinius;55;;Crassus;;Licinius Crassus, L.;;;
1680;125;125;0;125;0;271;M'.;Acilius;26;;Balbus;;Acilius Balbus, Mn.;;Rome;
1682;123;123;0;123;0;274;C.;Porcius;5;;Cato;;Porcius Cato, C.;;Rome;
1687;122;122;0;122;0;277;Q.;Minucius;56;;Rufus;;Minucius Rufus, Q.;;Rome;
1689;121;121;0;121;0;279;Cn.;Papirius;37;;Carbo;;Papirius Carbo, Cn.;;Rome;
1693;117 - 116;117;0;116;0;284;Q.;Caecilius;97;;Metellus;;Caecilius Metellus, Q.;1;Rome;
1696;122;122;0;122;0;276;M.;Papirius;39;;Carbo;;Papirius Carbo, M.;;Rome;
1740;82 - 81;82;0;81;0;366;C.;Annius;9;;;;Annius, C.;;;
1745;111 - 110;111;0;110;0;299;T.;Manlius;61, cf. 16;;Mancinus;;Manlius Mancinus, T.;;Rome;
1746;84 - 83;84;0;83;0;359, 367, 368, 369, 370, 371;L.;Cornelius;392;;Sulla;Felix;Cornelius Sulla Felix, L.;;;
1753;110 - 109;110;0;109;0;300;C.;Claudius;302;;Pulcher;;Claudius Pulcher, C.;;;
1757;109 - 108;109;0;108;0;303;M'.;Aquillius;11;;;;Aquillius, Mn;;Rome;
1763;118;118;0;118;0;282;Cn.;Domitius;21;;Ahenobarbus;;Domitius Ahenobarbus, Cn. ;;;
1763;116-115;116;0;115;0;285;Cn.;Domitius;21;;Ahenobarbus;;Domitius Ahenobarbus, Cn. ;;Rome;
1766;104;104;0;104;0;317;L.;Appuleius;29;;Saturninus;;Appuleius Saturninus, L. ;;;
1776;113 - 112;113;0;112;0;294;T.;Didius;5;;;;Didius, T.;;Rome;
1787;117 - 116;117;0;116;0;284;Q.;Caecilius;95;;Metellus;;Caecilius Metellus, Q.;1;Rome;
1789;101;101;0;101;0;326;C.;Fundanius;1;;;;Fundanius, C.;;;
1795;100;100;0;100;0;330;L.;Calpurnius;89;;Piso;(Caesoninus);Calpurnius Piso (Caesoninus), L.;;;
1796;100;100;0;100;0;330;Q.;Servilius;50;;Caepio;;Servilius Caepio, Q.;;;
1807;111 - 110;111;0;110;0;299;Ap.;Claudius;296;;Pulcher;;Claudius Pulcher, Appius;;Rome;
1819;108 - 107;108;0;107;0;308;M.;Herennius;10;;;;Herennius, M;;Rome;
1821;82;82;0;82;0;365;C.;Valerius;168;;Flaccus;;Valerius Flaccus, C.;;;
1825;103;103;0;103;0;320;L.;Iulius;142;;Caesar;;Iulius Caesar, L.;;Rome;
1833;113 - 112;113;0;112;0;295;L.;Manlius;78;;Torquatus;;Manlius Torquatus, L.;;Rome;
1834;116 - 115;116;0;115;0;286;M.;Sergius;42;;Silus;;Sergius Silus, M.;;Rome;
1854;43 - 42;43;0;42;0;502;L.;Sestius;2;;;;Sestius, L.;;;
1878;109 - 108;109;0;108;0;305;Q.;Lutatius;14;;Cerco;;Lutatius Cerco, Q.;;Rome;
1882;106;106;0;106;0;311;L.;Cornelius;338;;Scipio;Asiaticus;Cornelius Scipio Asiaticus, L.;;Rome;
1889;81;81;0;81;0;374;Q.;Caecilius;98;;Metellus;Pius;Caecilius Metellus Pius, Q.;;;
1896;90;90;0;90;0;340;L.;Calpurnius;98;;Piso;Frugi;Calpurnius Piso Frugi, L.;;Rome;
1901;103;103;0;103;0;319;Q.;Minucius;66;;Thermus;;Minucius Thermus, Q.;;Rome;
1947;88;88;0;88;0;346;C.;Marcius;43;;Censorinus;;Marcius Censorinus, C.;;Rome;
1957;49 - 44;49;0;44;0;443, 452, 456, 458, 466-8, 475-6, 481-2;C.;Iulius;131;;Caesar;;Julius Caesar, C.;;;
1971;86;86;0;86;0;351;L.;Critonius;2;;;;Critonius, L.;;Rome;
1972;86;86;0;86;0;351;M.;Fannius;15;;;;Fannius, M.;;Rome;
1976;71;71;0;71;0;402;Cn.;Pompeius;31;;Magnus;;Pompeius Magnus, Cn.;;;
