Q.,Salonius,*3,absent
Ti.,Sempronius,Veturius *17,Veturius 23
C.,Urbinius,not in *RE,not in RE?
,#NAME?,not in *RE,?
,Valerius,* 57?,178?
C.,Valerius,"*36, *44",166
C.,Valerius,*91,169
L.,Valerius,*21,171
L.,Valerius,*23,59
L.,Valerius,*26,172
L.,Valerius,*35,173
L.,Valerius,*46,174
L.,Valerius,"*V, 175, cf. 60",175
L.,Valerius,*48?,178?
L.,Valerius,"*54, *59, 176",176
L.,Valerius,*57,178
L.,Valerius,"*69, 179",179
M'.,Valerius,*25,247
M.,Valerius,*31,251
M'.,Valerius,*57,248
M.,Valerius,*40,252
M.,Valerius,*45,253
M.,Valerius,*56,249
M.,Valerius,*97,255
M.,Valerius,*95,261
M.,Valerius,*76,266
M.,Valerius,*77,268
M.,Valerius,*96,267
Q.,Valerius,*78,280
M.,Valerius,*22,See 244
L.,Valerius,*72,310
C.,Valerius,*74,316
Q.,Valerius,*50,345
C.,Valerius,*39,349
L.,Valerius,*38,350
C.,Valerius,*62,363
L.,Valerius,"*61, *62","363, 366"
,Valgius,see *3,see 2 and 4
,Vallius,not in *RE,?
,Vargunteius,*4,1
L.,Vargunteius,*3,3
P.,Varinius,*1,1
L.,Varius,*5,6
Q.,Varius,*1,7
,Varro,not in *RE,?
P.,Vatinius,*2,3
M.,Vehilius,*1,Vehilius
,Veiento,*1,Fabricius 14
Q.,Velanius,not in *RE,Velanius
C.,Velleius,*1,1
M.,Vergilius,Virgilius *1,4
C.,Vergilius,"Virgilius *2, *3","2, 3"
C.,Velleius,*2,"2, see 5, 8A.638"
,Velleius?,*4,"4, and see 5, 8A.638"
,Ventidius,*4,3
P.,Ventidius,*2,5
,Venuleius,*2,1
,Venuleius,*4,3
A.,Verginius,Virginius *12,3
A.,Verginius,*18,4
L.,Verginius,"*13, *14",7
L.,Verginius,*20,8
Opet.,Verginius,*S,18
L.,Verginius,*16,14
Opiter.,Verginius,*2,17
Proc.,Verginius,not in *RE,18a
A.,Verginius,*4,11
A.,Verginius,*9,13
Sp.,Verginius,*10,20
T.,Verginius,*3,21
T.,Verginius,*15,23
A.,Verginius,*7,12
Proc.,Verginius,*5,19
T.,Verginius,*6,22
C.,Verres,*1,1
,Versius,not in *RE,Versius
C.,Vetilius,*2,1
T.,Vettius,*9,11
T.,Vettius,*12,9a and 14
T.,Veturius,*11,8
C.,Veturius,*5,10
C.,Veturius,*9,11
L.,Veturius,not in *RE,cf. 15
L.,Veturius,*10,12
M.,Veturius,*S,13
Sp.,Veturius,*6,15
Sp.,Veturius,*7,14
C or P.,Veturius,*1?,16
T.,Veturius,*2,17
T.,Veturius,*4,18
Ti.,Veturius,*17,23
L.,Veturius,*14,19
L.,Veturius,*15,20
Ti.,Veturius,*16,22
C.,Vibienus,*2,3
,Vibius,not in *RE,?
,Vibius,*2,8
,Vibius Curius,"*8, cf. *2","10, 4a"
,Vibius,*15,12
L.,Vibius,"L. Iunius Paciaecus, *4.530, no. 7",14
(T.,Vibius?,*10,17. See Pansa
C.,Vibius,*9,16
D.,Vibullius,not in *RE,see D. Vibullius
L.,Vibullius,*1,1
Ap.,Villius,*1,1
P.,Villius,not in *RE,3
,Villius,*9,4
L.,Villius,*5,5
L.,VilIius,*8,7
L.,Villius,"*2, of. *4",9
P.,Villius,*3,10
M.,Vipsanius,"*3, and Vol. 1.272ff.",2
C.,Visellius,*2,3
,Voconius,*2,1
,Voconius,* 4,2
Q.,Voconius,*3,3
Q.,Voconius,*1,4
Q.,Voconius,*5,5
L.,Volcatius?,not in *RE,Volcacius 4
C.,Volcatius,*3,5?
C.,Volcatius,*8,7
L.,Volcatius,*6,Volcacius 8
L.,Volcatius,*7,"Volcacius 9, 18"
M.,Volscius,* 1,2
C.,Volumnius,not in *RE,2
L.,Volumnius,not in *RE,3
L.,Volumnius,see *7,4?
P.,Volumnius,*6,6
P.,Volumnius,*7,7
P.,Volumnius,*2,10
,Volumnius,see *7,"see 3, 4, 14"
L.,Volumnius,*3,13
L.,Volseius,not in *RE,?
C.,Volusenus,Volusienus *3,Volusenus 3
C.,Volusenus,Volusienus *2,Volusenus 3
,Volusius,*4,4
Q.,Volusius,*5,3
C.,Volusius,"see *4, *5",3
C.,Vulteius,Volteius *5,Vulteius
