Page;Review Later;Office;date_source_text;date_start;date_start_uncertain;date_end;date_end_uncertain;Praenomen;Nomen;Filiation;Tribe;RE;Cognomen;Notes
495;;Senator;by 43;-43;1;-43;1;L;Quintius;;;13;;Senator in 43, and probably considerably earlier, as he was the father-in-law of C. Asinius Pollio (App. BC 4.12).
495;;Senator;44;-44;;-44;;M;Quintius (Quinctius?);M. f.;Pol;51;Plancinus;Senator in 44 (Joseph. AJ 14.220).
495;;Senator;63;-63;;-63;;M;Porcius;;;18;Laeca;Senator in 63, a member of the Catilinarian conspiracy (Cic. Cat. 1.4** 2.6** Sull. 18** Sall. Cat. 27** Flor. 2.12.3). See D.-G. 5.101, no. 11.
495;;Senator;by 31;-31;1;-31;1;Q;Postumius;;;21;;Senator, slain by Antony in 31 (Dio 50.13.7).
495;;Senator;44;-44;;-44;;-;Popillius;;;15;Laenas;Senator in 44 at the time of Caesar's murder (Plut. Brut. 15-16** App. BC 2.115-116).
495;;Senator;by 49;-49;1;-49;1;L;Rubrius;;;11;;A senator who was captured by Caesar at Corfinium in 49 (Caes. BC 1.23.2).
495;;Senator;129;-129;;-129;;C;Rubrius;C. f.;Pupl;9;;Senator in 129 (S. C. de Agro Pergameno). Perhaps a colleague of C. Gracchus (see 122, Tribunes of the Plebs).
495;;Senator;ca 100;-100;1;-100;1;C;Rabirius;;;5;;Senator, probably about or soon after 100, when he aided in suppressing Saturninus (Cic. Rab. Perd. passim, esp. 18-28** Dio 37.26** cf. Auct. Vir. Ill. 73.12).
496;;Senator;39;-39;;-39;;P;Sestuillius (Sextilius?);P. f.;Ouf;Sextilius 14;;Senator in 39 (S. C. de Panamareis** Viereck 49, no. 20).
496;;Senator;44;-44;;-44;;P;Serrius (Sergius?);;;Sergius 20;;Senator in 44 (Joseph. AJ 14.220).
496;;Senator;ca 165;-165;1;-165;1;C;Sempronius;L. f. ;;not in RE;;Senator ca. 165 (Holleaux, BCH 48 [1924] 381-398-SEC 3.451).
496;;Senator;129;-129;;-129;;M;Serrius (Sergius?);M. f.;Ter;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
496;;Senator;129;-129;;-129;;C;Silius;Sex. f.;Cam;not in RE;;Senator in 129 (S. C. de Agro Pergameno).
496;;Senator;74;-74;;-74;;P;Septimius;;;51;Scaevola;Senator in 74, a juror in the case of Oppianicus, who accepted bribes (Cic. Verr. 1.38** cf. Cluent. 115-116).
496;;Senator?;51;-51;;-51;;M;Servilius;;;20;;Probably a senator. Accused of res repetundae in 51 (Cic. Fam. 8.8.2-3** cf. Brut. 269).
496;;Senator;72;-72;;-72;;L;Rutilius;;;16;Flaccus;Senator in 72 (Cic. Cluent. 182). See also Monetales.
496;;Senator;129;-129;;-129;;C;Sempronius;C. f.;Fal;5;;Senator in 129 (S. C. de Agro Pergameno), and ca. 126 (Joseph. AJ 13.260** see 126, Praetors, note 2, on Fannius).
496;;Senator?;49;-49;;-49;;C;Sentius;C. f. ;;4;;Member of the consilium of the Consul of 49 B. C. at Ephesus (Joseph. AJ 14.229).
496;;Senator;ca 140;-140;1;-140;1;A;Sempronius;A. f.;Fal;3;;A senator ca. 140 (SIG(3) 674, 5. C. de Narthaciensibus et Melitaeensibus).
496;;Senator;63;-63;;-63;;L;Saenius;;;1;;A senator in 63 (Sall. Cat. 30.1).
496;;Senator;74;-74;;-74;;P;Saturius;;;1;;A senator in 74, juror in the trial of Oppianicus (Cic. Cluent. 107, cf. 182).
496;;Senator;43;-43;;-43;;P;Silicius;;;1;Corona;A prominent senator, juror in the trial of the tyrannicides in 43, who openly voted for acquittal (Plut. Brut. 27.3** App. BC 3.95** 4.27** IDio 46.49.5).
497;;Senator;before 48;-49;1;-49;;-;Tuticanus;;;cf. 3;Gallus;The senator, father of one of Caesar's officers who fell at Dyrrachium, must have had some such name (Caes. BC 3.71).
497;;Senator;before 45;-46;1;-46;;-;Valgius;;;cf. 2 and 4;;A senator whose sons were fighting in Spain in 45 (Bell. Hisp. 13).
497;y;Senator;129;-129;;-129;;Q;Valgius;M. f.;;?;;Senator in 129 (S. C. de Agro Pergameno).
497;;Senator;49;-49;;-49;;Ser;Sulpicius;;;20, cf. 19;;A senator who was with Juba in Africa in 49 (Caes. BC 2.44). See Monetales.
497;y;Senator;87-43;-87;;-43;;;Statius;;;1?;;An influential Samnite who was made a senator after the Social War, and was proscribed in 43 at the age of eighty (App. BC 4.25).
497;;Senator;43;-43;;-43;;-;(Velleius);;;4, cf. 5, 8A.368;Capito;Senator, an uncle of Velleius Paterculus. Prosecuted Cassius under the Pedian law for the murder of Caesar (Vell. 2.69.5).
497;;Senator;63;-63;;-63;;L;Vargunteius;;;3;;Senator in 63, a member of the Catilinarian conspiracy (Sall. Cat. 17.3** 47.3** Cic. Sull. 6 and 67).
497;;Senator;63;-63;;-63;;Cn;Terentius;;;21;;Received custody of the Catilinarian conspirator Caeparius (Sall. Cat. 47.5, senator).
497;;Senator;70;-70;;-70;;Q;Titinius;;;17;;A juror in the trial of Verres (Cic. Verr. 2.1.128).
497;;Senator;129;-129;;-129;;P;Silius;L. f.;Gal;7;;Senator in 129 (S. C. de Agro Pergameno).
497;;Senator;52;-52;;-52;;Sex;Teidius;;;2;;Senator in 52, who found the body of Clodius and sent it back to Rome (Ascon. 32 C).
497;;Senator;ca 140;-140;1;-140;1;Q;Statilienus;Q. f.;Cor;1;;Senator ca. 140 (SIG(3) 674, S. C. de Narthaciensibus et Melitaeensibus).
497;;Senator;44;-44;;-44;;P;Tedetius;L. f.;Pol;1;;Senator in 44 (Joseph. AJ 14.220). Possibly a praetorius, since he follows a consular in Josephus' list.
497;;Senator;66;-66;;-66;;Cn;Tudicius;;;1;;Senator in 66, who was aiding Cluentius (Cic. Cluent. 198).
498;;Senator;39;-39;;-39;;M;?;-. f.;Pub;not in RE;Pallacinus;Senator in 39 (S. C. de Panamareis** Viereck 41, no. 20).
498;;Senator;129;-129;;-129;;C;Volumnius;C. f.;Men;2;;Senator in 129 (S. C. de Agro Pergameno).
498;y;Senator;50;-50;;-50;;L;Volumnius;;;4?;;Senator, named in Varro (RR 2.4.1), and alive in 50 (Cic. Fam. 7.32.1).
498;y;Senator;;;;;;C;Volcatius;;;5?;Gurges;Senator of uncertain date, named by Pliny in a list of examples, dating from the Republic, of cases of sudden death (NH 7.181).
498;;Senator;52;-52;;-52;;C;Vibienus;;;3;;Senator in 52, slain soon after the murder of Clodius (Cic. Mil. 37).
