P.,Papius,Pupius *1,Papius 9
L.,Postumius,*20,56
L.,Postumius,*27,62
A.,Postumius,*6,63?
P.,Postumius,*1,64
L.,Postumius,*24,65
,Postumia,*9,66
L.,Procilius,*1,1
M.,Publicius,*20,12
Q.,Publicius,*16,13
C.,Publicius,*5,14 or 15
L.,Publicius,*4,16
C.,Publicius,*14,9
L.,Publicius,*1,16a
M.,Publicius,"*2, *3",22
M.,Publicius,not in *RE,23
,Publicia,* 17,27
C.,Publilius,*10,6
Q.,Publilius,*4,8
T.,Publilius,*8,9
Voler.,Publilius,*1,10
Q.,Publilius,*6,11
Voler.,Publilius,*3,399
L.,Publilius,*2,13
,Publilia,not in *RE,16
,Pullius,*6.1.277,1
C.,Pupius,*3,3
L.,Pupius,*4,5
M.,Pupius,*2.100,10
Sex.,Quinctilius,*1,15
M.,Quinctilius,*2,9
P.,Quinctilius,*4,12
P.,Quinctilius,*6,13
Sex.,Quinctilius,not in *RE,16
Sex.,Quinctilius,*7,4
Sex.,Quinctilius,*10,17
T.,Quinctilius,*5,18?
D.,Quinctius,*4.1,7
T.,Quinctius,not in *RE,19
Cn.,Quinctius,Cap. *4,22
T.,Quinctius,Cap. *1,24
T.,Quinctius,Cap. *2,25
C.,Quinctius,Cin. *9,26
Q.,Quinctius,Cin. *8,31
L.,Quinctius,Cin. *1,26
L.,Quinctius,Cin. *3,28
T.,Quinctius,Cin. *7,32
T.,Quinctius,Cin. *10,33
T.,Quinctius,Cin. *4,34
K.,Quinctius,not in *RE,36
L.,Quinctius,Cin. *13,37
T.,Quinctius,Cin. *12,38
C.,Quinctius,*5,40
K.,Quinctius,*1,41
L.,Quinctius,*4,43
T.,Quinctius,*3,45
T.,Quinctius,*6,46
T.,Quinctius,*7,47
T.,Quinctius,Cin. *11,35
C.,Salonius,*2,not in RE?
P.,Salonius,*1,not in RE?
Q.,Salonius,*3,absent
Ti.,Veturius,*17,Veturius 23
C.,Urbinius,not in *RE,not in RE?
C.,Valerius,"*36, *44",166
C.,Valerius,*91,169
L.,Valerius,*21,171
L.,Valerius,*23,59
L.,Valerius,*26,172
L.,Valerius,*35,173
L.,Valerius,*46,174
L.,Valerius,"*54, *59, 176",176
L.,Valerius,*57,178
L.,Valerius,"*69, 179",179
M'.,Valerius,*25,247
M.,Valerius,*31,251
M'.,Valerius,*57,248
M.,Valerius,*40,252
M.,Valerius,*45,253
M.,Valerius,*56,249
M.,Valerius,*97,255
M.,Valerius,*95,261
M.,Valerius,*76,266
M.,Valerius,*77,268
M.,Valerius,*96,267
Q.,Valerius,*78,280
M.,Valerius,*22,See 244
C.,Valerius,*74,316
Q.,Valerius,*50,345
C.,Valerius,*39,349
L.,Valerius,*38,350
C.,Valerius,*62,363
L.,Valerius,"*61, *62","363, 366"
,Vargunteius,*4,1
P.,Varinius,*1,1
L.,Varius,*5,6
Q.,Varius,*1,7
,Varro,not in *RE,?
P.,Vatinius,*2,3
M.,Vehilius,*1,Vehilius
Q.,Velanius,not in *RE,Velanius
M.,Vergilius,*1,4
C.,Vergilius,Virgilius *2,2
C.,Velleius,*2,"2, see 5, 8A.638"
,Ventidius,*4,3
P.,Ventidius,*2,5
,Venuleius,*2,1
A.,Verginius,*12,3
A.,Verginius,*18,4
L.,Verginius,"*13, 14",7
L.,Verginius,*20,8
Proc.,Verginius,*5,18
L.,Verginius,*16,14
Opet.,Verginius,*2,17
A.,Verginius,*4,11
A.,Verginius,*9,13
Sp.,Verginius,*10,20
T.,Verginius,*3,21
T.,Verginius,*15,23
A.,Verginius,*7,12
Proc.,Verginius,*5,19
T.,Verginius,*6,22
C.,Verres,*6.2471,1
C.,Vetilius,*2,1
T.,Vettius,*9,11
T.,Vettius,*12,9a and 14
T.,Veturius,*11,8
C.,Veturius,*5,10
C.,Veturius,*9,11
L.,Veturius,not in *RE,cf. 15
M.,Veturius,*8,13
Sp.,Veturius,*7,14
T.,Veturius,*2,17
T.,Veturius,*4,18
Ti.,Veturius,*17,23
L.,Veturius,*14,19
L.,Veturius,*15,20
Ti.,Veturius,*16,22
C.,Vibius,*9,16
D.,Vibullius,not in *RE,see D. Vibullius
L.,Vibullius,*1,1
Ap.,Villius,*1,1
P.,Villius,not in *RE,3
,Villius,*9,4
L.,Villius,*5,5
L.,Villius,*4,9
P.,Villius,*3,10
M.,Vipsanius,*3,2
C.,Visellius,*2,3
,Voconius,*2,1
Q.,Voconius,*3,3
Q.,Voconius,*1,4
C.,Volcatius,*8,7
L.,Volcatius,*6,Volcacius 8
L.,Volcatius,*7,"Volcacius 9, 18"
M.,Volscius,*6.2.2739,2
-,Volumnius,*7,4?
P.,Volumnius,*6,6
P.,Volumnius,*7,7
P.,Volumnius,*2,10
L.,Volumnius,*3,13
C.,Volusenus,Volusienus *3,Volusenus 3
,Volusius,*4,4
Q.,Volusius,*5,3
C.,Vulteius,Volteius *5,Vulteius
